Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
50545,232,1,1,0,0,0,0,0,0,0,0,0,0,0,8620.689655,0,0,0,0,32,32,4310.344828,4310.344828,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,357,32832,0,32,0,0,0,0,0,0,0,0
53,31226,2,2,68,380,34,34,34,0,190,190,190,0,14347.01851,128.0983796,0,0,0,0,64,40,64.04918978,64.04918978,34,190,96.4,85.44471897,7300.8,0,0,0,0,0,0,0,0,1,120.5,34,190,64,0,0,0,0,0,0,2,68,2,380,-1,-1,1,32,0,0,0,0,0,0,0,0
80,99951883,9,7,317,11595,317,0,35.22222222,105.6666667,5792,0,1656.428571,2118.227235,119.1773446,0.160077024,0,0,0,0,296,232,0.090043326,0.070033698,0,5792,700.7058824,1538.694445,2367580.596,0,0,0,0,1,0,0,0,0,744.5,35.22222222,1656.428571,296,0,0,0,0,0,0,9,317,7,11595,274,235,1,32,999,0,999,999,99900000,0,99900000,99900000
53,30894,4,2,140,172,35,35,35,0,86,86,86,0,10099.04836,194.2124684,0,0,0,0,128,64,129.474979,64.73748948,35,86,49.57142857,24.88545186,619.2857143,0,0,0,0,0,0,0,0,0,57.83333333,35,86,128,0,0,0,0,0,0,4,140,2,172,-1,-1,3,32,0,0,0,0,0,0,0,0
53,48943,2,2,88,166,44,44,44,0,83,83,83,0,5189.71048,81.72772409,0,0,0,0,40,64,40.86386204,40.86386204,44,83,59.6,21.36117974,456.3,0,0,0,0,0,0,0,0,1,74.5,44,83,40,0,0,0,0,0,0,2,88,2,166,-1,-1,1,20,0,0,0,0,0,0,0,0
53,23728,1,1,56,84,56,56,56,0,84,84,84,0,5900.202293,84.28860418,0,0,0,0,32,32,42.14430209,42.14430209,56,84,65.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,0,1,98,56,84,32,0,0,0,0,0,0,1,56,1,84,-1,-1,0,32,0,0,0,0,0,0,0,0
23,3,2,0,4,0,2,2,2,0,0,0,0,0,1333333.333,666666.6667,0,0,0,0,48,0,666666.6667,0,2,2,2,0,0,0,0,0,1,0,0,0,0,0,3,2,0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0,0,0,0,0,0,0,0
80,141,2,0,0,0,0,0,0,0,0,0,0,0,0,14184.39716,0,0,0,0,40,0,14184.39716,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,16425,-1,0,20,0,0,0,0,0,0,0,0
443,229,2,0,12,0,6,6,6,0,0,0,0,0,52401.74672,8733.624454,0,0,0,0,40,0,8733.624454,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,252,-1,1,20,0,0,0,0,0,0,0,0
443,176084,10,8,559,5437,192,0,55.9,78.19697351,1460,0,679.625,659.8527839,34051.92976,102.2239386,0,0,0,0,212,172,56.79107699,45.43286159,0,1460,315.5789474,523.7169842,274279.4795,0,0,0,1,0,0,0,0,0,333.1111111,55.9,679.625,212,0,0,0,0,0,0,10,559,8,5437,8192,980,9,20,0,0,0,0,0,0,0,0
